Geneid,C_1,C_2,C_3,WT_1,WT_2,WT_3,G_1,G_2,G_3
MYCTH_2064545,1928,2876,2972,9980,12463,10596,6867,7087,7735
MYCTH_2045079,42,40,43,37,75,66,87,107,89
MYCTH_2041611,5,10,10,17,10,14,1,8,9
MYCTH_2127519,1,0,0,1,0,0,0,0,0
MYCTH_2305838,56,47,65,802,505,581,876,1254,860
MYCTH_52839,108,191,154,605,719,560,712,702,847
MYCTH_2305841,185,321,319,404,548,391,365,421,477
MYCTH_69999,0,0,2,2,2,0,0,0,0
MYCTH_2127524,0,0,0,0,0,0,0,0,0
MYCTH_2064311,0,0,0,0,0,0,0,0,0
MYCTH_82995,1595,2857,2671,1985,2661,2456,2297,2100,2282
MYCTH_95399,0,0,0,2,5,4,0,4,3
MYCTH_2065250,0,0,0,0,0,0,0,0,0
MYCTH_69995,0,0,0,0,0,2,0,0,0
MYCTH_95398,0,0,0,0,0,0,0,0,0
MYCTH_2305843,378,632,608,668,850,730,1052,1038,1238
MYCTH_2305846,766,1268,1033,2710,3912,3560,3828,3656,4185
MYCTH_2305849,1018,1726,1451,3932,5427,4401,6247,5766,6366
MYCTH_t101,0,1,0,2,0,0,0,0,0
MYCTH_102985,467,750,484,3697,5469,4116,4145,3902,4300
MYCTH_2065457,4,5,1,3,2,0,0,1,0
MYCTH_51627,10,12,12,9,2,4,5,0,5
MYCTH_95391,5,2,3,8,5,14,13,6,12
MYCTH_2134461,3303,5496,4835,29498,27318,23058,27537,31488,36726
MYCTH_2305857,1123,1792,1483,2298,2716,2028,2114,2023,2284
MYCTH_2305858,228,310,274,211,189,186,160,210,180
MYCTH_2305861,267,471,421,773,927,572,840,839,844
MYCTH_2305865,390,550,431,2720,3431,2764,3085,2826,3152
MYCTH_2305868,139,214,266,160,182,179,287,318,339
MYCTH_2305870,104,150,181,173,230,168,379,296,441
MYCTH_102977,131,162,211,1040,1336,1021,3489,3431,3830
MYCTH_82981,19158,32082,33157,6893,8771,7261,19219,19285,20426
MYCTH_69975,440,745,546,831,1099,958,877,1012,1043
MYCTH_2305878,208,379,371,75,79,97,176,154,186
MYCTH_2305882,2,8,14,186,208,149,352,538,428
MYCTH_2305886,557,905,780,9244,11655,9465,15059,15367,17169
MYCTH_2305890,559,920,957,4670,5107,3791,6808,8252,8682
MYCTH_2305891,2,7,8,11,22,17,8,15,0
MYCTH_102971,105,209,141,903,1190,852,243,205,219
MYCTH_2127554,205,327,344,332,279,254,222,179,179
MYCTH_52332,32,34,37,333,380,292,78,123,102
MYCTH_2315436,12346,20598,20407,37336,45611,38400,50991,49688,56150
MYCTH_2305903,228,397,351,603,758,697,691,627,605
MYCTH_2065718,455,754,621,2756,3887,3134,3310,3030,3292
MYCTH_102965,159,284,194,29899,39371,32422,4315,4318,5108
MYCTH_52514,34,56,60,105,169,132,27,20,38
MYCTH_2305912,34,43,56,19,60,89,69,52,66
MYCTH_108391,50,80,70,55,55,46,86,61,103
MYCTH_53905,133,169,198,59,48,66,68,80,61
MYCTH_2134470,4347,6630,6779,24556,32491,26127,29084,29443,32843
MYCTH_2305924,400,690,658,1181,1372,1378,2096,1872,2237
MYCTH_2305926,473,813,813,370,537,504,612,669,839
MYCTH_69953,684,1089,1037,242,280,227,130,145,185
MYCTH_2305929,1372,2268,1993,5833,8515,7217,10192,9620,11178
MYCTH_2305931,1124,1957,1887,1972,2329,2087,2899,3242,3363
MYCTH_2139409,2757,4336,3872,7762,10513,8560,11957,11747,12632
MYCTH_2080800,662,1044,836,2329,3231,2676,3154,3036,3230
MYCTH_2305937,744,1211,1142,2976,4340,3064,3971,4267,4240
MYCTH_t102,10,19,9,4,7,7,1,1,4
MYCTH_112025,6084,10030,9984,18701,23631,19498,3622,4192,4469
MYCTH_2305943,23,19,43,21,23,34,11,9,11
MYCTH_2064750,0,0,0,0,0,0,0,0,0
MYCTH_2305949,58,96,61,436,535,483,431,519,464
