Geneid,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,T1_1,T1_2,T1_3,T2_1,T2_2,T2_3
MYCTH_2052169,0,0,0,0,0,0,0,0,0,0,0,0
MYCTH_73480,3.53,3.48,3.17,5.23,5.27,5.4,4.1,3.39,5.05,4.87,6.59,4.98
MYCTH_2299507,1.44,0.91,1.57,5.44,6.29,3.65,0.73,1.02,1.18,1.2,1.93,1.16
MYCTH_2142599,197.08,213.24,227.6,252.49,253.62,253.55,187.59,192.75,231.44,226.77,211.53,225.26
MYCTH_2299512,9.75,8.55,9.51,21.8,26.04,23.53,8.85,7.5,8.76,13.76,15.73,13.65
MYCTH_t26,0,0,0,0,0,0,0,0,0,0,0,0
MYCTH_2124493,0.08,0.09,0.53,0.51,0.07,0.32,0,0,0,0,0.07,0.18
MYCTH_2108176,0.12,0.06,0.29,0.17,0.44,0.32,0,0.06,0.13,0.26,0.29,0.14
MYCTH_59388,21.93,19.57,17.56,19.1,21.17,23.07,14.68,13,14.24,12.3,13.9,14.36
MYCTH_2299516,0.15,0.34,0.17,0.53,0.56,0.45,0.19,0.29,0.27,0.32,0.48,0.49
MYCTH_2299518,12.21,12.67,11.35,16.72,16.22,17.42,7.15,8.07,7.34,11.7,11.46,11.01
MYCTH_2052762,0,0,0,0,0,0,0,0,0,0,0,0
MYCTH_2053143,0,0,0,0,0,0,0,0,0,0,0,0
MYCTH_97470,5.94,5.77,5.38,13.31,12.21,11.68,5.53,4.85,6.63,14.43,15.46,14.09
MYCTH_2299520,6.6,5.74,5.85,13.87,14.23,14.26,4.8,5.59,6.69,7.66,7.28,7.02
MYCTH_2124505,0,0,0,0,0,0,0,0,0,0,0,0
MYCTH_2299521,21.01,19.25,21.13,51.67,52.89,51.64,12.74,11.04,17.81,26.43,26.24,22.76
MYCTH_112889,64.73,70.89,68.9,64.73,67.03,68.18,55.68,60.99,63.29,45.64,45.55,47.65
MYCTH_73461,119.29,117.96,113.76,85.58,93.67,88.77,100.64,57.51,82.93,67.95,72.67,66.93
MYCTH_2314296,10.53,11.11,11.54,15.35,13.7,14.01,12.93,14.56,12.96,11.85,12.31,12.83
MYCTH_2299528,0.04,0.26,0.37,1.12,0.45,0.71,0.11,0.28,0.17,0.39,0.51,0.16
MYCTH_2299531,13.62,13.43,13.92,24.08,26.31,26.53,11.19,10.28,9.93,14.06,14.21,14.08
MYCTH_2299532,9.59,8.95,8.66,20.12,22.06,22.75,4.92,4.08,5.05,11.68,11.13,10.08
MYCTH_2049292,11.14,11.49,11.28,15.61,18.64,17.72,5.7,6,6.99,8.45,10.32,10.84
MYCTH_2299535,6.78,5.41,4.99,22.57,21.75,20.56,5.24,5.47,11.76,18.92,17.34,15.49
MYCTH_89426,4.32,5.61,4.67,8.48,9.22,9.21,3.4,3.02,4.07,5.88,5.52,6.61
MYCTH_2299541,1.09,0.49,0.61,1.9,1.76,1.98,0.73,0.83,0.73,1.09,1.48,0.58
