GO	GENE	CLASS
GO:0006351	ANI_1_334014	BP
GO:0003677	ANI_1_334014	MF
GO:0008270	ANI_1_334014	MF
GO:0008171	ANI_1_336014	MF
GO:0016788	ANI_1_2362014	MF
GO:0019888	ANI_1_2368014	MF
GO:0003677	ANI_1_342014	MF
GO:0042555	ANI_1_342014	CC
GO:0005524	ANI_1_342014	MF
GO:0006270	ANI_1_342014	BP
GO:0006270	ANI_1_342014	BP
GO:0005524	ANI_1_342014	MF
GO:0003677	ANI_1_342014	MF
GO:0006260	ANI_1_342014	BP
GO:0005524	ANI_1_342014	MF
GO:0003677	ANI_1_342014	MF
GO:0005515	ANI_1_2376014	MF
GO:0008312	ANI_1_348014	MF
GO:0030942	ANI_1_348014	MF
GO:0005786	ANI_1_348014	CC
GO:0005047	ANI_1_348014	MF
GO:0006614	ANI_1_348014	BP
GO:0003723	ANI_1_348014	MF
GO:0005506	ANI_1_350014	MF
GO:0055114	ANI_1_350014	BP
GO:0020037	ANI_1_350014	MF
GO:0016705	ANI_1_350014	MF
GO:0004497	ANI_1_350014	MF
GO:0005506	ANI_1_350014	MF
GO:0055114	ANI_1_350014	BP
GO:0020037	ANI_1_350014	MF
GO:0016705	ANI_1_350014	MF
GO:0016705	ANI_1_350014	MF
GO:0055114	ANI_1_350014	BP
GO:0005525	ANI_1_354014	MF
GO:0003924	ANI_1_354014	MF
GO:0005525	ANI_1_354014	MF
GO:0005515	ANI_1_2378014	MF
GO:0005634	ANI_1_2378014	CC
GO:0003676	ANI_1_2378014	MF
GO:0016020	ANI_1_360014	CC
GO:0005794	ANI_1_360014	CC
GO:0016192	ANI_1_360014	BP
GO:0017137	ANI_1_360014	MF
GO:0005515	ANI_1_362014	MF
GO:0003735	ANI_1_362014	MF
GO:0006412	ANI_1_362014	BP
GO:0005840	ANI_1_362014	CC
GO:0006360	ANI_1_364014	BP
GO:0001164	ANI_1_364014	MF
GO:0070860	ANI_1_364014	CC
GO:0001188	ANI_1_364014	BP
GO:0045901	ANI_1_366014	BP
GO:0003746	ANI_1_366014	MF
GO:0003723	ANI_1_366014	MF
GO:0043022	ANI_1_366014	MF
GO:0045901	ANI_1_366014	BP
GO:0045905	ANI_1_366014	BP
GO:0003746	ANI_1_366014	MF
GO:0003723	ANI_1_366014	MF
GO:0043022	ANI_1_366014	MF
GO:0055114	ANI_1_370014	BP
GO:0016491	ANI_1_370014	MF
GO:0005634	ANI_1_372014	CC
GO:0006351	ANI_1_372014	BP
GO:0003677	ANI_1_372014	MF
GO:0008270	ANI_1_372014	MF
GO:0003824	ANI_1_2384014	MF
GO:0009116	ANI_1_2384014	BP
GO:0009116	ANI_1_2384014	BP
GO:0003824	ANI_1_2384014	MF
GO:0006559	ANI_1_2388014	BP
GO:0055114	ANI_1_2388014	BP
GO:0004411	ANI_1_2388014	MF
GO:0006570	ANI_1_2388014	BP
GO:0003824	ANI_1_376014	MF
GO:0008410	ANI_1_378014	MF
GO:0046952	ANI_1_378014	BP
GO:0008410	ANI_1_378014	MF
GO:0000981	ANI_1_2396014	MF
GO:0042025	ANI_1_2396014	CC
GO:0008270	ANI_1_2396014	MF
GO:0006355	ANI_1_2396014	BP
GO:0016616	ANI_1_2398014	MF
GO:0055114	ANI_1_2398014	BP
GO:0016616	ANI_1_2398014	MF
GO:0055114	ANI_1_2398014	BP
GO:0051287	ANI_1_2398014	MF
GO:0005634	ANI_1_2400014	CC
GO:0006351	ANI_1_2400014	BP
GO:0003677	ANI_1_2400014	MF
GO:0008270	ANI_1_2400014	MF
GO:0003723	ANI_1_384014	MF
GO:0003676	ANI_1_384014	MF
GO:0004842	ANI_1_386014	MF
GO:0005515	ANI_1_386014	MF
GO:0032040	ANI_1_2402014	CC
GO:0006364	ANI_1_2402014	BP
GO:0052861	ANI_1_392014	MF
GO:0006412	ANI_1_396014	BP
GO:0022857	ANI_1_2404014	MF
GO:0055085	ANI_1_2404014	BP
GO:0016020	ANI_1_2404014	CC
GO:0003735	ANI_1_406014	MF
GO:0006412	ANI_1_406014	BP
GO:0005840	ANI_1_406014	CC
GO:0016787	ANI_1_2408014	MF
GO:0005515	ANI_1_410014	MF
GO:0007264	ANI_1_410014	BP
GO:0005085	ANI_1_410014	MF
GO:0000145	ANI_1_412014	CC
GO:0006887	ANI_1_412014	BP
GO:0005730	ANI_1_2414014	CC
GO:0005515	ANI_1_416014	MF
GO:0005506	ANI_1_2416014	MF
GO:0055114	ANI_1_2416014	BP
GO:0020037	ANI_1_2416014	MF
GO:0016705	ANI_1_2416014	MF
GO:0016705	ANI_1_2416014	MF
GO:0055114	ANI_1_2416014	BP
GO:0003735	ANI_1_420014	MF
GO:0032543	ANI_1_420014	BP
GO:0000079	ANI_1_430014	BP
GO:0051726	ANI_1_430014	BP
GO:0019901	ANI_1_430014	MF
GO:0000272	ANI_1_432014	BP
GO:0008810	ANI_1_432014	MF
GO:0004553	ANI_1_432014	MF
GO:0002098	ANI_1_2422014	BP
GO:0034227	ANI_1_2422014	BP
GO:0000049	ANI_1_2422014	MF
GO:0007264	ANI_1_440014	BP
GO:0005085	ANI_1_440014	MF
GO:0005506	ANI_1_444014	MF
GO:0016226	ANI_1_444014	BP
GO:0051536	ANI_1_444014	MF
GO:0003735	ANI_1_448014	MF
GO:0006412	ANI_1_448014	BP
GO:0005840	ANI_1_448014	CC
GO:0003735	ANI_1_448014	MF
GO:0005840	ANI_1_448014	CC
GO:0004842	ANI_1_2424014	MF
GO:0055114	ANI_1_452014	BP
GO:0016491	ANI_1_452014	MF
GO:0008270	ANI_1_452014	MF
GO:0055114	ANI_1_452014	BP
GO:0016491	ANI_1_452014	MF
GO:0043419	ANI_1_464014	BP
GO:0016151	ANI_1_464014	MF
GO:0009039	ANI_1_464014	MF
GO:0006807	ANI_1_464014	BP
GO:0016151	ANI_1_464014	MF
GO:0016810	ANI_1_464014	MF
GO:0016787	ANI_1_464014	MF
GO:0009039	ANI_1_464014	MF
GO:0016151	ANI_1_464014	MF
GO:0055114	ANI_1_468014	BP
GO:0016491	ANI_1_468014	MF
GO:0003735	ANI_1_470014	MF
GO:0006412	ANI_1_470014	BP
GO:0005840	ANI_1_470014	CC
GO:0005515	ANI_1_2432014	MF
GO:0045039	ANI_1_478014	BP
GO:0042719	ANI_1_478014	CC
GO:0006418	ANI_1_2436014	BP
GO:0000166	ANI_1_2436014	MF
GO:0004812	ANI_1_2436014	MF
GO:0005524	ANI_1_2436014	MF
GO:0006430	ANI_1_2436014	BP
GO:0004824	ANI_1_2436014	MF
GO:0000166	ANI_1_2436014	MF
GO:0005737	ANI_1_2436014	CC
GO:0005524	ANI_1_2436014	MF
GO:0004824	ANI_1_2436014	MF
GO:0006430	ANI_1_2436014	BP
GO:0005524	ANI_1_2436014	MF
GO:0003676	ANI_1_2436014	MF
GO:0003677	ANI_1_2440014	MF
GO:0070824	ANI_1_2440014	CC
GO:0006342	ANI_1_2440014	BP
GO:0016021	ANI_1_486014	CC
GO:0005524	ANI_1_486014	MF
GO:0055085	ANI_1_486014	BP
GO:0042626	ANI_1_486014	MF
GO:0005524	ANI_1_486014	MF
GO:0016021	ANI_1_486014	CC
GO:0016887	ANI_1_486014	MF
GO:0005524	ANI_1_486014	MF
GO:0016791	ANI_1_488014	MF
GO:0005515	ANI_1_490014	MF
GO:0055114	ANI_1_2444014	BP
GO:0016491	ANI_1_2444014	MF
GO:0003700	ANI_1_2446014	MF
GO:0006355	ANI_1_2446014	BP
GO:0003676	ANI_1_2448014	MF
GO:0007017	ANI_1_500014	BP
GO:0030286	ANI_1_500014	CC
GO:0007017	ANI_1_500014	BP
GO:0005875	ANI_1_500014	CC
GO:0071918	ANI_1_2450014	BP
GO:0016021	ANI_1_2450014	CC
GO:0015204	ANI_1_2450014	MF
GO:0022857	ANI_1_2450014	MF
GO:0055085	ANI_1_2450014	BP
GO:0016020	ANI_1_2450014	CC
GO:0003824	ANI_1_2452014	MF
GO:0005784	ANI_1_508014	CC
GO:0006886	ANI_1_508014	BP
GO:0016887	ANI_1_2456014	MF
GO:0005524	ANI_1_2456014	MF
GO:0016020	ANI_1_2456014	CC
GO:0055085	ANI_1_2456014	BP
GO:0042626	ANI_1_2456014	MF
GO:0005524	ANI_1_2456014	MF
GO:0016021	ANI_1_2456014	CC
GO:0006275	ANI_1_512014	BP
GO:0003677	ANI_1_512014	MF
GO:0017022	ANI_1_512014	MF
GO:0006275	ANI_1_512014	BP
GO:0003677	ANI_1_512014	MF
GO:0030337	ANI_1_512014	MF
GO:0005515	ANI_1_2458014	MF
GO:0005525	ANI_1_518014	MF
GO:0005525	ANI_1_518014	MF
GO:0006886	ANI_1_518014	BP
GO:0016787	ANI_1_2460014	MF
GO:0005515	ANI_1_522014	MF
GO:0006383	ANI_1_522014	BP
GO:0005515	ANI_1_524014	MF
GO:0003729	ANI_1_524014	MF
GO:0043488	ANI_1_524014	BP
GO:0005783	ANI_1_526014	CC
GO:0072546	ANI_1_526014	CC
GO:0016021	ANI_1_526014	CC
GO:0022857	ANI_1_2462014	MF
GO:0055085	ANI_1_2462014	BP
GO:0022857	ANI_1_2462014	MF
GO:0008272	ANI_1_2464014	BP
GO:0055085	ANI_1_2464014	BP
GO:0016020	ANI_1_2464014	CC
GO:0008271	ANI_1_2464014	MF
GO:0016787	ANI_1_2466014	MF
GO:0072357	ANI_1_2466014	CC
GO:0000164	ANI_1_2466014	CC
GO:0004722	ANI_1_2466014	MF
GO:0005515	ANI_1_2468014	MF
GO:0006629	ANI_1_534014	BP
GO:0004806	ANI_1_534014	MF
GO:0006629	ANI_1_534014	BP
GO:0015116	ANI_1_2472014	MF
GO:0008272	ANI_1_2472014	BP
GO:0016021	ANI_1_2472014	CC
GO:0008272	ANI_1_2472014	BP
GO:0055085	ANI_1_2472014	BP
GO:0016020	ANI_1_2472014	CC
GO:0008271	ANI_1_2472014	MF
GO:0008271	ANI_1_2472014	MF
GO:0008272	ANI_1_2472014	BP
GO:0005515	ANI_1_538014	MF
GO:0036265	ANI_1_538014	BP
GO:0042254	ANI_1_540014	BP
GO:0006779	ANI_1_542014	BP
GO:0004853	ANI_1_542014	MF
