GO	GENE	CLASS
GO:0003777	TRIREDRAFT_102378	MF
GO:0007018	TRIREDRAFT_102378	BP
GO:0005524	TRIREDRAFT_102378	MF
GO:0003777	TRIREDRAFT_102378	MF
GO:0007018	TRIREDRAFT_102378	BP
GO:0003951	TRIREDRAFT_73511	MF
GO:0019674	TRIREDRAFT_73511	BP
GO:0003951	TRIREDRAFT_73511	MF
GO:0003951	TRIREDRAFT_73511	MF
GO:0006741	TRIREDRAFT_73511	BP
GO:0006355	TRIREDRAFT_54675	BP
GO:0003700	TRIREDRAFT_54675	MF
GO:0003677	TRIREDRAFT_54675	MF
GO:0003700	TRIREDRAFT_54675	MF
GO:0006520	TRIREDRAFT_53091	BP
GO:0030170	TRIREDRAFT_53091	MF
GO:0020037	TRIREDRAFT_73523	MF
GO:0055114	TRIREDRAFT_73523	BP
GO:0004601	TRIREDRAFT_73523	MF
GO:0006979	TRIREDRAFT_73523	BP
GO:0004601	TRIREDRAFT_73523	MF
GO:0055114	TRIREDRAFT_73523	BP
GO:0020037	TRIREDRAFT_73523	MF
GO:0006979	TRIREDRAFT_73523	BP
GO:0005524	TRIREDRAFT_53818	MF
GO:0016887	TRIREDRAFT_53818	MF
GO:0008080	TRIREDRAFT_52960	MF
GO:0006886	TRIREDRAFT_73525	BP
GO:0008536	TRIREDRAFT_73525	MF
GO:0005515	TRIREDRAFT_73525	MF
GO:0008536	TRIREDRAFT_73525	MF
GO:0006886	TRIREDRAFT_73525	BP
GO:0055085	TRIREDRAFT_102416	BP
GO:0022857	TRIREDRAFT_102416	MF
GO:0016020	TRIREDRAFT_102416	CC
GO:0016491	TRIREDRAFT_54694	MF
GO:0055114	TRIREDRAFT_54694	BP
GO:0035556	TRIREDRAFT_54395	BP
GO:0006355	TRIREDRAFT_73559	BP
GO:0008270	TRIREDRAFT_73559	MF
GO:0042025	TRIREDRAFT_73559	CC
GO:0000981	TRIREDRAFT_73559	MF
GO:0008270	TRIREDRAFT_73559	MF
GO:0006355	TRIREDRAFT_73559	BP
GO:0042025	TRIREDRAFT_73559	CC
GO:0000981	TRIREDRAFT_73559	MF
GO:0005634	TRIREDRAFT_73559	CC
GO:0008270	TRIREDRAFT_73559	MF
GO:0003677	TRIREDRAFT_73559	MF
GO:0006351	TRIREDRAFT_73559	BP
GO:0008270	TRIREDRAFT_124306	MF
GO:0009055	TRIREDRAFT_73571	MF
GO:0020037	TRIREDRAFT_73571	MF
GO:0005634	TRIREDRAFT_53848	CC
GO:0051028	TRIREDRAFT_53848	BP
GO:0005515	TRIREDRAFT_53848	MF
GO:0005515	TRIREDRAFT_73587	MF
GO:0046983	TRIREDRAFT_102464	MF
GO:0004150	TRIREDRAFT_73594	MF
GO:0006760	TRIREDRAFT_73594	BP
GO:0007166	TRIREDRAFT_53238	BP
GO:0016021	TRIREDRAFT_53238	CC
GO:0004888	TRIREDRAFT_53238	MF
GO:0004553	TRIREDRAFT_53731	MF
GO:0005975	TRIREDRAFT_53731	BP
GO:0005524	TRIREDRAFT_102482	MF
GO:0006468	TRIREDRAFT_102482	BP
GO:0004672	TRIREDRAFT_102482	MF
GO:0003824	TRIREDRAFT_53401	MF
GO:0006281	TRIREDRAFT_53401	BP
GO:0016021	TRIREDRAFT_119578	CC
GO:0008061	TRIREDRAFT_71245	MF
GO:0005975	TRIREDRAFT_71245	BP
GO:0003824	TRIREDRAFT_73621	MF
GO:0016740	TRIREDRAFT_73621	MF
GO:0071949	TRIREDRAFT_73623	MF
GO:0006355	TRIREDRAFT_102497	BP
GO:0008270	TRIREDRAFT_102497	MF
GO:0042025	TRIREDRAFT_102497	CC
GO:0000981	TRIREDRAFT_102497	MF
GO:0005634	TRIREDRAFT_102497	CC
GO:0008270	TRIREDRAFT_102497	MF
GO:0003677	TRIREDRAFT_102497	MF
GO:0006351	TRIREDRAFT_102497	BP
GO:0008270	TRIREDRAFT_102497	MF
GO:0006355	TRIREDRAFT_102497	BP
GO:0042025	TRIREDRAFT_102497	CC
GO:0000981	TRIREDRAFT_102497	MF
GO:0055085	TRIREDRAFT_54230	BP
GO:0042910	TRIREDRAFT_54230	MF
GO:0016020	TRIREDRAFT_54230	CC
GO:0015297	TRIREDRAFT_54230	MF
GO:0030126	TRIREDRAFT_73647	CC
GO:0006890	TRIREDRAFT_73647	BP
GO:0005515	TRIREDRAFT_102512	MF
GO:0007062	TRIREDRAFT_102512	BP
GO:0008278	TRIREDRAFT_102512	CC
GO:0007021	TRIREDRAFT_119593	BP
GO:0007023	TRIREDRAFT_119593	BP
GO:0048487	TRIREDRAFT_119593	MF
GO:0007021	TRIREDRAFT_119593	BP
GO:0048487	TRIREDRAFT_119593	MF
GO:0007023	TRIREDRAFT_119593	BP
GO:0006629	TRIREDRAFT_71259	BP
GO:0006629	TRIREDRAFT_71259	BP
GO:0004806	TRIREDRAFT_71259	MF
GO:0016274	TRIREDRAFT_53796	MF
GO:0016021	TRIREDRAFT_119600	CC
GO:0005783	TRIREDRAFT_119600	CC
GO:0006486	TRIREDRAFT_119600	BP
GO:0005737	TRIREDRAFT_53728	CC
GO:0006796	TRIREDRAFT_53728	BP
GO:0000287	TRIREDRAFT_53728	MF
GO:0004427	TRIREDRAFT_53728	MF
GO:0006890	TRIREDRAFT_53535	BP
GO:0005484	TRIREDRAFT_53535	MF
GO:0051082	TRIREDRAFT_73678	MF
GO:0006457	TRIREDRAFT_73678	BP
