Geneid,C_1,C_2,C_3,T_1,T_2,T_3
MYCTH_2295088,246,388,346,347,434,360
MYCTH_2295089,1395,2563,2369,2397,2904,2697
MYCTH_2295090,592,911,758,2632,3203,2673
MYCTH_2295092,1025,1482,1270,1447,2090,1648
MYCTH_98992,280,446,418,637,575,495
MYCTH_2295096,1978,3211,2766,9586,12332,10526
MYCTH_2295097,3605,6096,5889,8392,10205,8696
MYCTH_2295098,3593,5789,5939,6279,8345,6647
MYCTH_2295100,227,412,293,1031,1212,1005
MYCTH_105822,6975,11752,11247,14056,17921,14868
MYCTH_2295106,1411,2394,2244,2947,3956,2805
MYCTH_76199,83,114,96,146,145,206
MYCTH_2295109,545,948,780,1525,2032,1747
MYCTH_2313446,881,1544,1434,3092,3915,3317
MYCTH_2295112,11399,19139,18117,22804,28532,24115
MYCTH_2313449,2160,3635,2971,8325,8628,7374
MYCTH_2295119,3676,5872,5280,12383,16295,13254
MYCTH_2295120,671,1076,921,2581,4190,3076
MYCTH_2295124,170,300,322,298,408,336
MYCTH_2295128,65,111,101,383,488,343
MYCTH_2295130,1298,1735,1510,5290,7465,6076
MYCTH_2295132,341,436,468,916,1313,1094
MYCTH_2087754,884,1343,1412,1327,1531,1309
MYCTH_2295135,1949,3040,3099,3330,4475,3641
MYCTH_2295138,4247,6281,5662,19296,24383,20119
MYCTH_2295141,647,976,828,1550,2034,1859
MYCTH_2136659,3459,5698,5988,5994,7539,6479
MYCTH_2295145,927,1488,1463,3737,5291,4157
MYCTH_2313457,1495,2299,2206,2591,3363,2713
MYCTH_2295152,200,371,278,570,852,666
MYCTH_2295153,428,698,593,1285,1769,1511
MYCTH_2295154,74,99,64,574,846,716
MYCTH_2295155,847,1435,1212,2515,3234,2968
MYCTH_2295158,661,1161,1010,1416,1907,1569
MYCTH_2087774,556,897,862,736,929,775
MYCTH_2295162,957,1532,1399,1833,2753,2342
MYCTH_2295164,119,106,80,677,749,654
MYCTH_2295168,1321,2332,2163,907,1265,993
MYCTH_2295173,2269,3981,3975,18019,23130,17311
MYCTH_2295174,7991,12935,12644,16000,21201,17535
MYCTH_2295176,402,629,564,946,1093,843
