Gene	Pathway
TRIREDRAFT_59267	Metabolic pathways
TRIREDRAFT_59359	Metabolic pathways
TRIREDRAFT_59578	Metabolic pathways
TRIREDRAFT_59771	Metabolic pathways
TRIREDRAFT_59838	Metabolic pathways
TRIREDRAFT_59843	Metabolic pathways
TRIREDRAFT_59846	Metabolic pathways
TRIREDRAFT_59994	Metabolic pathways
TRIREDRAFT_60033	Metabolic pathways
TRIREDRAFT_60067	Metabolic pathways
TRIREDRAFT_60089	Metabolic pathways
TRIREDRAFT_60095	Metabolic pathways
TRIREDRAFT_60194	Metabolic pathways
TRIREDRAFT_60232	Metabolic pathways
TRIREDRAFT_60418	Metabolic pathways
TRIREDRAFT_60743	Metabolic pathways
TRIREDRAFT_60814	Metabolic pathways
TRIREDRAFT_60847	Metabolic pathways
TRIREDRAFT_6096	Metabolic pathways
TRIREDRAFT_61121	Metabolic pathways
TRIREDRAFT_61153	Metabolic pathways
TRIREDRAFT_61383	Metabolic pathways
TRIREDRAFT_61442	Metabolic pathways
TRIREDRAFT_61486	Metabolic pathways
TRIREDRAFT_61553	Metabolic pathways
TRIREDRAFT_61677	Metabolic pathways
TRIREDRAFT_61690	Metabolic pathways
TRIREDRAFT_61705	Metabolic pathways
TRIREDRAFT_61746	Metabolic pathways
TRIREDRAFT_61750	Metabolic pathways
TRIREDRAFT_61893	Metabolic pathways
TRIREDRAFT_61910	Metabolic pathways
TRIREDRAFT_62034	Metabolic pathways
TRIREDRAFT_62091	Metabolic pathways
TRIREDRAFT_62165	Metabolic pathways
TRIREDRAFT_62219	Metabolic pathways
TRIREDRAFT_62271	Metabolic pathways
TRIREDRAFT_62367	Metabolic pathways
TRIREDRAFT_62389	Metabolic pathways
TRIREDRAFT_62563	Metabolic pathways
TRIREDRAFT_62581	Metabolic pathways
TRIREDRAFT_62704	Metabolic pathways
TRIREDRAFT_62871	Metabolic pathways
TRIREDRAFT_63006	Metabolic pathways
TRIREDRAFT_63092	Metabolic pathways
TRIREDRAFT_63180	Metabolic pathways
TRIREDRAFT_63328	Metabolic pathways
TRIREDRAFT_63341	Metabolic pathways
TRIREDRAFT_63347	Metabolic pathways
TRIREDRAFT_63354	Metabolic pathways
TRIREDRAFT_63397	Metabolic pathways
TRIREDRAFT_63657	Metabolic pathways
